Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile,Firepower Percentile,Firepower Z,Firepower Z Tier
Pro Line Energy,Pickleball Apes,$149.99,PBEFFECT,https://a8qh.short.gy/ApesE,2023,USAP,Extra-elongated,Raw Texture/Peel Ply,Gen 2,Power,17,6.25,4.25,8.16,127,98%,5.89,17%,248,,,54.9,22%,,,,,
Pro Line Energy S,Pickleball Apes,$169.99,PBEFFECT,https://a8qh.short.gy/ApesES,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,All-Court,17,5.50,4.25,8.10,116,57%,6.26,43%,238,,,52.0,1%,,,,,
Pulse E,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseE ,2024,USAP,Extra-elongated,Raw Texture/Peel Ply,Gen 3,All-Court,17,6.25,4.25,8.26,127,98%,5.89,17%,247,High,1986,55.7,43%,35.9,36%,39%,52.0,Firepower Balanced
Pulse S,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseS ,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,All-Court,17,5.50,4.25,7.98,114,43%,6.24,42%,240,High,1971,54.9,22%,36.2,51%,37%,44.0,Firepower Control+
Pulse V,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseV ,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,All-Court,17,5.50,4.25,8.13,112,28%,7.37,97%,237,High,1978,54.7,20%,36.1,46%,33%,41.0,Firepower Control+
Pulse X,Pickleball Apes,$199.99,PBEFFECT,https://a8qh.short.gy/PulseX,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,All-Court,16,5.50,4.25,8.10,121,86%,6.14,33%,245,,,,,,,,,
Hurricane Pro 14mm,PIKKL,$159.99,PBEFFECT,https://a8qh.short.gy/HP14,2024,USAP/UPA-A,Widebody,Raw Texture/Peel Ply,Gen 2,Control,14,5.50,4.25,7.83,108,10%,6.67,71%,237,High,1979,53.1,6%,35.5,23%,15%,15.0,Firepower Soft
Hurricane Pro 16mm,PIKKL,$159.99,PBEFFECT,https://a8qh.short.gy/H16,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.25,7.90,111,23%,6.95,86%,238,High,1991,52.8,2%,35.3,18%,10%,10.0,Firepower Soft
Vantage Pro 14mm,PIKKL,$139.99,PBEFFECT,https://a8qh.short.gy/VP14,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Control,14,5.30,4.25,8.04,115,49%,6.28,45%,236,High,1998,53.2,6%,,,,,
Vantage Pro 16mm,PIKKL,$139.99,PBEFFECT,https://a8qh.short.gy/VP16,2023,USAP/UPA-A,Hybrid,Raw Texture/Peel Ply,Gen 2,Control,16,5.30,4.25,8.40,121,86%,6.69,73%,237,High,1996,53.7,10%,,,,,
Black Ace 14,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/BA14,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 1.5/Edgeless,All-Court,14,5.30,4.00,7.80,102,1%,6.57,64%,224,Very High,2042,54.9,22%,37.1,92%,57%,51.0,Firepower Balanced
Black Ace 16,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/BA16,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 1.5/Edgeless,Control,16,5.30,4.00,8.00,109,13%,6.92,85%,234,Very High,2056,55.4,34%,36.3,57%,46%,51.0,Firepower Balanced
Black Ace LG 14,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/LG14,2024,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 1.5/Edgeless,Power,14,5.90,4.00,7.80,107,6%,5.60,7%,229,Very High,2056,55.7,43%,37.1,92%,67%,61.0,Firepower Balanced
Black Ace XF 14,Prokennex,$279.00,PBEFFECT,https://a8qh.short.gy/XF14,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 1.5/Edgeless,All-Court,14,5.10,4.00,7.80,101,1%,5.40,3%,221,High,1993,54.7,20%,36.4,62%,41%,43.0,Firepower Control+
Project Flamingo,Proton,$280.00,Link applies code,https://a8qh.short.gy/PF,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 3,Power,15,5.25,4.25,8.16,121,86%,6.78,78%,242,High,1982,55.9,52%,37.4,98%,75%,66.0,Firepower High
Project Peacock,Proton,$280.00,Link applies code,https://a8qh.short.gy/pp,2025,USAP/UPA-A,Elongated,Raw Texture/Peel Ply,Gen 4,Power,15,5.25,4.25,8.00,116,57%,6.27,44%,243,Very High,2093,56.8,86%,36.9,85%,86%,74.0,Firepower High
Series 1 Type A Elongated 11mm,Proton,$280.00,PBEFFECT,https://a8qh.short.gy/S1AE11,2024,USAP,Elongated,Nanotak,Gen 1,,11,5.50,4.25,8.14,124,95%,5.91,20%,247,,,,,,,,,
Series 1 Type A Elongated 15mm,Proton,$280.00,PBEFFECT,https://a8qh.short.gy/1AE15,2024,USAP,Elongated,Nanotak,Gen 1,,15,5.50,4.25,8.60,135,100%,6.52,60%,251,High,1938,55.9,52%,35.9,36%,44%,55.0,Firepower Balanced
Series 1 Type A Square Shape 11mm,Proton,$280.00,PBEFFECT,https://a8qh.short.gy/1AS11,2024,USAP,Widebody,Nanotak,Gen 1,,11,5.25,4.25,7.96,114,43%,6.59,66%,242,High,2000,54.4,17%,36.1,46%,31%,37.0,Firepower Control+
Series 2,Proton,$220.00,PBEFFECT,https://a8qh.short.gy/S2,2024,USAP,Hybrid,Paint Grit,Gen 1/Edgeless,,15,5.38,4.25,8.38,121,86%,5.92,21%,240,,,,,,,,,
Series 3,Proton,$250.00,PBEFFECT,https://a8qh.short.gy/S3,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,,16,5.30,4.25,8.20,124,95%,6.88,84%,245,,,,,,,,,
Series 4,Proton,$300.00,PBEFFECT,https://a8qh.short.gy/S4,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2/Edgeless,,16,5.30,4.25,7.80,111,23%,5.51,5%,237,High,1944,54.9,22%,34.6,6%,14%,32.0,Firepower Soft
Sweet Spot 13,ProXR,$210.00,PBEFFECT,https://a8qh.short.gy/SP13,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,,13,5.25,4.00,8.10,115,49%,6.99,87%,238,,,,,,,,,
Zane Navtratil Signature,ProXR,$209.99,PBEFFECT,https://a8qh.short.gy/zn14,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 1.5,All-Court,14,6.00,4.00,8.24,115,49%,5.71,10%,233,,,,,,,,,
RLD-1,Reload,$200.00,PBEFFECT,https://a8qh.short.gy/Reload,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.17,122,89%,6.37,52%,245,High,1973,55.5,37%,35.1,15%,26%,44.0,Firepower Control+
Zeus,Rev,$149.00,PBEFFECT,https://a8qh.short.gy/ZEUS,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,14,5.25,4.20,8.00,113,35%,6.35,50%,239,,,,,,,,,
Drift Pure,Revolin,$174.99,PBEFFECT,https://a8qh.short.gy/RDP,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.00,4.25,8.08,109,13%,6.55,63%,232,Very High,2072,55.6,40%,35.9,36%,38%,51.0,Firepower Balanced
Drift Reach,Revolin,$174.99,PBEFFECT,https://a8qh.short.gy/RDR,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,All-Court,16,5.50,4.25,8.23,118,71%,5.72,10%,237,High,1980,55.7,43%,36.1,46%,44%,54.0,Firepower Balanced
Revo Pro Pure,Revolin,$219.99,PBEFFECT,https://a8qh.short.gy/Pure,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 1,Power,16,5.25,4.25,8.00,103,2%,6.53,60%,226,High,1958,56.0,56%,37.1,92%,74%,65.0,Firepower High
Revo Pro Reach,Revolin,$219.99,PBEFFECT,https://a8qh.short.gy/Reach,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Power,16,5.50,4.25,7.91,109,13%,5.59,6%,233,Medium,1851,56.3,68%,36.9,85%,77%,67.0,Firepower High
Pulsar FX.R1,Ronbus,$180.00,PBEFFECT,https://a8qh.short.gy/R1FX,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.21,120,83%,6.23,40%,243,Medium,1907,55.0,26%,35.9,36%,31%,43.0,Firepower Control+
Pulsar FX.R2,Ronbus,$180.00,PBEFFECT,https://a8qh.short.gy/R2FX,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.18,113,35%,7.05,89%,237,Medium,1900,54.9,22%,35.5,23%,23%,39.0,Firepower Control+
Pulsar FX.R3,Ronbus,$180.00,PBEFFECT,https://a8qh.short.gy/R3FX,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,8.22,123,92%,6.27,44%,245,High,1946,55.4,34%,35.6,27%,31%,46.0,Firepower Control+
Quanta R1,Ronbus,$119.00,PBEFFECT,https://a8qh.short.gy/QR1,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,7.65,107,6%,5.60,7%,236,,,,,,,,,
Quanta R2,Ronbus,$119.00,PBEFFECT,https://a8qh.short.gy/QR2,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,7.68,103,2%,6.25,42%,232,,,,,,,,,
Quanta R3,Ronbus,$119.00,PBEFFECT,https://a8qh.short.gy/QR3,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,7.69,113,35%,5.64,8%,240,,,,,,,,,
Quanta R4,Ronbus,$119.00,PBEFFECT,https://a8qh.short.gy/QR4,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,7.70,105,3%,5.90,18%,235,Very High,2065,56.5,77%,37.0,89%,83%,71.0,Firepower High
Quanta R5,Ronbus,$119.00,PBEFFECT,https://a8qh.short.gy/QR5,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,Power,16,5.50,4.13,7.70,103,2%,6.15,35%,232,Very High,2110,56.6,81%,36.9,85%,83%,71.0,Firepower High
R1 Nova,Ronbus,$180.00,PBEFFECT,https://a8qh.short.gy/R1Nova,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.14,118,71%,6.00,24%,242,Medium,1883,54.4,17%,34.2,3%,10%,23.0,Firepower Soft
R1 Pulsar,Ronbus,$170.00,PBEFFECT,https://a8qh.short.gy/R1P,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,7.87,114,43%,6.12,32%,237,,,,,,,,,
R1.16,Ronbus,$120.00,PBEFFECT,https://a8qh.short.gy/R1.16,2022,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.13,7.96,118,71%,6.11,31%,242,High,1950,53.7,10%,33.7,1%,6%,10.0,Firepower Soft
R3 Nova,Ronbus,$180.00,PBEFFECT,https://a8qh.short.gy/R3N,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.50,4.13,8.07,120,83%,6.04,27%,245,,,55.0,26%,34.8,8%,17%,35.0,Firepower Control+
R3 Pulsar,Ronbus,$170.00,PBEFFECT,https://a8qh.short.gy/R3P,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.13,7.98,122,89%,6.15,35%,245,Medium,1903,55.2,30%,35.4,20%,25%,42.0,Firepower Control+
R3.16,Ronbus,$120.00,PBEFFECT,https://a8qh.short.gy/R3.16,2022,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.13,7.73,119,78%,5.84,15%,247,,,,,,,,,
Ripple V2 R1.14,Ronbus,$280.00,PBEFFECT,https://a8qh.short.gy/rip1v2,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.20,128,99%,5.88,16%,250,Very High,2023,57.6,98%,36.6,72%,85%,82.0,Firepower Elite
Ripple V2 R2.14,Ronbus,$280.00,PBEFFECT,https://a8qh.short.gy/ripr2v2,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.20,119,78%,6.60,66%,244,Very High,2005,56.9,90%,37.2,95%,93%,78.0,Firepower High
Ripple V2 R4.14,Ronbus,$280.00,PBEFFECT,https://a8qh.short.gy/ripr4v2,2025,USAP,Hybrid,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.13,8.00,118,71%,5.90,18%,245,Very High,2015,57.0,93%,37.0,89%,91%,77.0,Firepower High
Friction Pro Elongated 14,RPM,$249.99,PBEFFECT,https://a8qh.short.gy/rpme14,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.00,7.81,115,49%,6.00,24%,242,Very High,2121,56.2,65%,36.5,67%,66%,63.0,Firepower Balanced
Friction Pro Elongated 16,RPM,$249.99,PBEFFECT,https://a8qh.short.gy/rpme,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.90,117,64%,6.14,33%,243,Very High,2106,56.6,81%,36.7,79%,80%,70.0,Firepower High
Friction Pro Widebody 14,RPM,$249.99,PBEFFECT,https://a8qh.short.gy/rmpw,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,Power,14,5.50,4.00,7.93,110,18%,7.10,90%,237,Very High,2035,56.0,56%,36.2,51%,54%,58.0,Firepower Balanced
Friction Pro Widebody 16,RPM,$249.99,PBEFFECT,https://a8qh.short.gy/rmpw,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 3,Power,16,5.50,4.25,7.95,110,18%,7.24,94%,236,Very High,2109,56.3,68%,36.3,57%,63%,63.0,Firepower Balanced
Amped Epic Control,Selkirk,$160.00,INF-BRAYDONU,https://a8qh.short.gy/AmpE,2024,USAP,Widebody,Paint Grit,Gen 1,Control,16,5.25,4.25,8.00,105,3%,6.54,61%,230,,,,,,,,,
Amped Epic Pro Air,Selkirk,$180.00,INF-BRAYDONU,https://a8qh.short.gy/APE,2024,USAP,Widebody,Paint Grit,Gen 1.5/Edgeless,Power,16,5.25,4.25,7.97,112,28%,6.87,83%,240,Medium,1909,55.1,28%,36.1,46%,37%,46.0,Firepower Control+
Amped Invikta Pro Air,Selkirk,$180.00,INF-BRAYDONU,https://a8qh.short.gy/API,2024,USAP,Elongated,Paint Grit,Gen 1.5/Edgeless,Power,16,5.25,4.25,7.86,118,71%,5.90,18%,246,Medium,1895,55.5,37%,36.3,57%,47%,53.0,Firepower Balanced
Boomstick Elongated,Selkirk,$333.00,INF-BRAYDONU,https://a8qh.short.gy/BSE,2025,USAP,Elongated,Durable Texture,Gen 4,Power,16,5.80,4.25,8.40,121,86%,6.92,85%,239,High,1989,57.1,95%,37.3,97%,96%,81.0,Firepower Elite
Boomstick Widebody,Selkirk,$333.00,INF-BRAYDONU,https://a8qh.short.gy/BSW,2025,USAP,Widebody,Durable Texture,Gen 4,Power,16,5.60,4.25,8.30,113,35%,7.72,100%,233,High,1980,56.8,86%,37.2,95%,91%,76.0,Firepower High
Luxx Control Air Epic,Selkirk,$250.00,INF-BRAYDONU,https://a8qh.short.gy/LEpic,2023,USAP,Widebody,Paint Grit,Gen 1.5/Edgeless,Control,20,5.25,4.25,8.08,112,28%,6.35,50%,238,Medium,1873,51.2,0%,33.1,1%,1%,0.0,Firepower Soft
Luxx Control Air Invikta,Selkirk,$250.00,INF-BRAYDONU,https://a8qh.short.gy/LInvikta,2023,USAP,Elongated,Paint Grit,Gen 1.5/Edgeless,Control,20,5.25,4.25,7.96,115,49%,5.78,12%,242,Medium,1858,52.0,1%,33.2,1%,1%,0.0,Firepower Soft
Luxx Control Air Invikta Infinigrit,Selkirk,$280.00,INF-BRAYDONU,https://a8qh.short.gy/Luxxi,2025,USAP,Elongated,Paint Grit,Gen 2,Control,19,5.50,4.25,8.05,117,64%,5.83,14%,243,High,1993,54.2,15%,35.3,18%,16%,28.0,Firepower Soft
Luxx Control Air S2,Selkirk,$250.00,INF-BRAYDONU,https://a8qh.short.gy/LS2,2023,USAP,Widebody,Paint Grit,Gen 1.5/Edgeless,Control,20,4.50,4.25,8.17,107,6%,7.13,91%,233,Medium,1870,50.3,0%,32.9,0%,0%,0.0,Firepower Soft
Power Air Epic,Selkirk,$249.99,INF-BRAYDONU,https://a8qh.short.gy/EAir,2022,USAP,Widebody,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,4.25,8.04,104,3%,6.35,50%,229,Medium,1884,53.2,6%,36.6,72%,39%,25.0,Firepower Soft
Power Air Invikta,Selkirk,$249.99,INF-BRAYDONU,https://a8qh.short.gy/IAir,2022,USAP,Elongated,Paint Grit,Gen 1.5/Edgeless,Power,13,5.25,4.25,8.00,112,28%,5.62,8%,237,Medium,1894,53.5,9%,36.5,67%,38%,28.0,Firepower Soft
SLK Dauntless Elongated,Selkirk,$180.00,INF-BRAYDONU,Coming Feb 17,2026,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Control,16,5.80,4.25,7.90,117,64%,6.56,63%,244,,,,,,,,,
SLK Dauntless Widebody,Selkirk,$180.00,INF-BRAYDONU,Coming Feb 17,2026,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,Control,16,5.60,4.25,7.86,110,18%,7.36,97%,240,,,,,,,,,
Vanguard Control Epic (midweight),Selkirk,$200.00,INF-BRAYDONU,https://a8qh.short.gy/VCEpic,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 1,Control,16,5.30,4.25,8.14,112,28%,6.37,52%,236,,,,,,,,,
Vanguard Control Invikta (mideweight),Selkirk,$200.00,INF-BRAYDONU,https://a8qh.short.gy/VCInvikta,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 1,Control,16,5.50,4.25,7.97,113,35%,5.65,8%,237,,,,,,,,,
Vanguard Control S2 (midweight),Selkirk,$200.00,INF-BRAYDONU,https://a8qh.short.gy/VCS2,2024,USAP,Widebody,Raw Texture/Peel Ply,Gen 1,Control,16,4.70,4.25,8.01,105,3%,7.09,89%,230,,,,,,,,,
Vanguard Pro Power Invikta,Selkirk,$220.00,INF-BRAYDONU,https://a8qh.short.gy/ProPI,2024,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,All-Court,16,5.50,4.25,8.03,114,43%,5.89,17%,237,High,1937,55.7,43%,35.2,16%,29%,47.0,Firepower Control+
008 Epic 13mm,Selkirk Labs,$288.00,INF-BRAYDONU,https://a8qh.short.gy/813e,2025,USAP,Widebody,Raw Texture/Peel Ply,Gen 4,Control,13,5.30,4.25,7.75,102,1%,5.81,13%,229,High,1954,54.8,21%,35.4,20%,21%,37.0,Firepower Control+
008 Invikta 10mm,Selkirk Labs,$288.00,INF-BRAYDONU,https://a8qh.short.gy/00810,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,All-Court,10,5.50,4.25,7.90,110,18%,5.20,2%,234,High,1995,55.0,26%,35.6,27%,26%,41.0,Firepower Control+
008 Invikta 13mm,Selkirk Labs,$288.00,INF-BRAYDONU,https://a8qh.short.gy/813I,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Control,13,5.50,4.25,7.70,109,13%,5.40,3%,236,High,1965,55.1,28%,35.3,18%,23%,40.0,Firepower Control+
008 Tour 13mm,Selkirk Labs,$288.00,INF-BRAYDONU,https://a8qh.short.gy/813T,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Control,13,6.00,4.25,7.90,112,28%,5.36,3%,237,High,1991,54.7,20%,35.0,12%,16%,32.0,Firepower Soft
008 Tour 16mm,Selkirk Labs,$288.00,INF-BRAYDONU,https://a8qh.short.gy/816,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,Control,16,6.00,4.25,8.10,116,57%,5.52,6%,239,High,1969,55.2,30%,34.8,8%,19%,37.0,Firepower Control+
Project 005 Epic,Selkirk Labs,$222.00,INF-BRAYDONU,https://a8qh.short.gy/005,2023,USAP,Widebody,Paint Grit,Gen 2/Edgeless,All-Court,16,5.25,4.25,7.97,110,18%,6.88,84%,238,,,,,,,,,
Project 006 Maxima,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/006,2023,USAP,Elongated,Raw Texture/Peel Ply,Gen 2,Control,16,5.75,4.25,8.39,118,71%,5.97,24%,236,Low,1848,54.1,13%,34.4,4%,9%,20.0,Firepower Soft
Project 007 Epic 14mm,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/007E14,2024,USAP,Widebody,Durable Texture,Gen 2/Edgeless,Power,14,5.25,4.25,8.13,113,35%,6.50,59%,239,High,1981,55.5,37%,36.8,82%,60%,56.0,Firepower Balanced
Project 007 Invikta 14mm,Selkirk Labs,$333.00,INF-BRAYDONU,https://a8qh.short.gy/00714,2024,USAP,Elongated,Durable Texture,Gen 2,Power,14,,4.25,8.13,118,71%,5.94,21%,243,Very High,2005,56.5,77%,36.3,57%,67%,66.0,Firepower High
Black Diamond 14mm,Six Zero,$180.00,PBEFFECT,https://a8qh.short.gy/BD14,2024,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,14,5.50,4.25,8.00,112,28%,6.46,57%,237,High,1988,55.6,40%,36.8,82%,61%,58.0,Firepower Balanced
Black Diamond 16mm,Six Zero,$179.99,PBEFFECT,https://a8qh.short.gy/BD,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,4.25,8.07,114,43%,6.67,71%,239,High,1981,55.9,52%,36.3,57%,55%,58.0,Firepower Balanced
Black Diamond Amethyst Pro,Six Zero,$199.00,PBEFFECT,https://a8qh.short.gy/BDPRO,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2,Power,16,5.50,4.25,8.23,115,49%,6.72,76%,234,,,,,,,,,
Black Diamond Infinity 16mm,Six Zero,$220.00,PBEFFECT,https://a8qh.short.gy/BDi,2023,USAP,Hybrid,Raw Texture/Peel Ply,Gen 2/Edgeless,All-Court,16,5.50,4.25,7.97,107,6%,5.80,12%,229,High,1990,52.8,2%,35.4,20%,11%,11.0,Firepower Soft
Black Opal ,Six Zero,$250.00,PBEFFECT,https://a8qh.short.gy/bo,2025,USAP/UPA-A,Hybrid,Raw Texture/Peel Ply,Gen 4,Power,14,5.50,4.25,8.10,114,43%,6.30,46%,239,Very High,2024,57.6,98%,37.0,89%,94%,85.0,Firepower Elite
Coral Elongated,Six Zero,$200.00,PBEFFECT,https://a8qh.short.gy/ce,2025,USAP,Elongated,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.75,4.25,8.00,113,35%,6.03,27%,238,Very High,2023,56.4,74%,36.6,72%,73%,67.0,Firepower High
